id,date,content
55,2022-09-09 13:32:59+00:00,"['surprised', 'see', 'strange', 'decision', 'indian', 'government', 'still', 'respect', 'colonialism', 'expressing', 'condolences', 'demise', 'kind', 'gesture', 'undoubtedly', 'giving', 'national', 'respect', 'position', 'facilitated', 'invasion', 'exploitation', 'indians']"
56,2022-09-09 13:32:22+00:00,"['desi', 'friends', 'living', 'london', 'posting', 'queen', 'stories', 'trying', 'add', 'elitist', 'persona']"
57,2022-09-09 13:13:54+00:00,"['death', 'leaves', 'heartache', 'one', 'heal', 'love', 'leaves', 'memory', 'one', 'steal']"
58,2022-09-09 12:32:44+00:00,"['queen', 'love', 'wisdom', 'humanity', 'world', 'miss', 'thequeenelizabeth', 'queenelizabeth', 'royal', 'royals', 'royalty', 'royalfamily', 'royalgram', 'classy', 'lady', 'fashion', 'instagood', 'instaroyals', 'queen', 'britishroyalfamily', 'britishroyals', 'wisdom', 'vintage', 'memories']"
59,2022-09-09 12:32:20+00:00,"['rss', 'queen', 'queenelizabeth', 'bharatjodoyatra']"
60,2022-09-09 12:31:45+00:00,"['aur', 'jo', 'queen', 'ne', 'insan', 'marwa', 'diye', 'hamare', 'sub', 'continent', 'me', 'tk', 'trillion', 'usd', 'loot', 'le', 'gyi']"
61,2022-09-09 12:20:59+00:00,"['bad', 'publicly', 'diss', 'death', 'family', 'member', 'plundered', 'terrorised', 'land', 'ancestors', 'far', 'worse', 'publicly', 'celebrate', 'honour', 'legacy']"
62,2022-09-09 12:18:39+00:00,"['mythvsfact', 'trinity', 'gods', 'take', 'birth', 'facts', 'shri', 'brahma', 'visnu', 'shiva', 'birth', 'death', 'durga', 'mother', 'tridev', 'sant', 'rampal', 'ji', 'maharaj']"
63,2022-09-09 12:10:22+00:00,"['dear', 'sir', 'need', 'help', 'guidance', 'pension', 'provision', 'gref', 'border', 'roads', 'organization', 'employee', 'served', 'years', 'amp', 'months', 'field', 'area', 'resigned', 'due', 'family', 'circumstances']"
64,2022-09-09 12:10:10+00:00,"['uk', 'high', 'commissioner', 'leaves', 'speaking', 'media', 'paying', 'homage', 'queen', 'elizabeth', 'queen', 'elizabeth', 'longest', 'reigning', 'monarch', 'british', 'history', 'died', 'thursday', 'sxmlqpge']"
65,2022-09-09 12:08:05+00:00,['queen']
66,2022-09-09 12:04:59+00:00,"['supreme', 'court', 'stays', 'demolition', 'curlies', 'restaurant', 'goa', 'sonali', 'phogat', 'death', 'linked', 'restaurant']"
67,2022-09-09 12:00:49+00:00,"['government', 'india', 'declared', 'state', 'mourning', 'honour', 'death', 'queen', 'elizabeth', 'ii', 'september', 'sundayon', 'day', 'tricolor', 'halfmasted', 'everywhere', 'queenelizabeth']"
68,2022-09-09 12:00:04+00:00,"['accepting', 'applicants', 'january', 'uk', 'australia', 'usa', 'new', 'zealand', 'canada', 'contact', 'us', 'soe', 'studyabroad', 'uk', 'australia', 'usa', 'newzealand', 'canada', 'foreigneducationconsultancy']"
69,2022-09-09 11:56:50+00:00,"['uk', 'probably', 'one', 'places', 'thats', 'brutal', 'towards', 'poor', 'india', 'even', 'idea', 'mindful', 'fantasy']"
70,2022-09-09 11:53:58+00:00,"['royal', 'family', 'royalists', 'deeply', 'classist', 'pretend', 'food', 'security', 'issues', 'exist', 'always', 'cards']"
71,2022-09-09 11:43:59+00:00,"['japanese', 'envoy', 'pays', 'homage', 'british', 'queen', 'elizabeth', 'british', 'high', 'commission', 'delhi']"
72,2022-09-09 11:34:17+00:00,"['queens', 'death', 'seems', 'english', 'also', 'diedkenya', 'tv', 'grab', 'sg']"
73,2022-09-09 11:27:21+00:00,"['head', 'nation', 'india', 'friend', 'country', 'krta', 'hai', 'kisi', 'country', 'ke', 'headprime', 'minister', 'president', 'king', 'ke', 'death', 'kr', 'hamesha', 'ke', 'krta', 'aaya', 'hai']"
74,2022-09-09 11:27:10+00:00,"['definitely', 'twinkling', 'eyes', 'charming', 'zillion', 'dollar', 'smile', 'rip', 'queen', 'elizabeth', 'ii', 'slideshow', 'snihm']"
75,2022-09-09 11:15:27+00:00,"['rani', 'jind', 'last', 'queen', 'punjab', 'embodiment', 'kohinoor', 'also', 'queen', 'never', 'needed', 'wear', 'crown', 'leave', 'legacy', 'behind', 'queen']"
76,2022-09-09 11:15:26+00:00,"['liking', 'britain', 'mourning', 'queenelizabeth', 'dividing', 'assets', 'what', 'show']"
77,2022-09-09 11:07:47+00:00,"['rest', 'peace', 'queen', 'elizabeth', 'ii', 'queenelizabeth', 'smk']"
78,2022-09-09 11:07:06+00:00,"['mythvsfact', 'triple', 'gods', 'brahma', 'vishnu', 'shiva', 'mortal', 'must', 'know', 'fact', 'dummy', 'gods', 'brahma', 'vishnu', 'mahesh', 'cycle', 'birthdeath']"
79,2022-09-09 10:56:55+00:00,"['oneday', 'state', 'mourning', 'across', 'india', 'september', 'mark', 'respect', 'departed', 'british', 'monarch', 'queen', 'elizabeth', 'ii', 'day', 'national', 'flag', 'flown', 'half', 'mast', 'buildings', 'flown', 'regularly', 'official', 'entertainment']"
80,2022-09-09 10:55:08+00:00,"['acquire', 'lap', 'satpurush', 'anami', 'jaigurudev', 'death', 'taking', 'initiation', 'naamdaan', 'soul', 'master', 'present', 'liberate', 'soul', 'realm', 'matter', 'amp', 'illusion', 'let', 'soul', 'real', 'peace']"
81,2022-09-09 10:50:58+00:00,"['coincidence', 'queen', 'elizabeth', 'passed', 'away', 'day']"
82,2022-09-09 10:38:42+00:00,"['life', 'pleasant', 'death', 'peaceful', 'transition', 'thats', 'troublesome', 'press', 'alt', 'discription']"
83,2022-09-09 10:30:01+00:00,"['looks', 'like', 'queenelizabeth', 'realised', 'due', 'modi', 'jis', 'great', 'work', 'india', ""'s"", 'gdp', 'surpassed', 'colonial', 'ruler', 'couldnt', 'take', 'shock', 'queen', 'elizabeth', 'ii']"
84,2022-09-09 10:25:43+00:00,"['godddd', 'wake', 'queen']"
85,2022-09-09 10:22:07+00:00,"['official', 'mourning', 'death', 'monarch', 'colonial', 'rulers', 'tricolour', 'half', 'mast', 'slave', 'mentality', 'never', 'go', 'must', 'thank', 'queen', 'elizabeth', 'looting', 'us', 'plundering', 'national', 'wealth', 'end', 'leaving', 'nation', 'divided', 'wow', 'slave', 'always', 'slave']"
86,2022-09-09 10:21:12+00:00,"['britain', 'queenelezabeth', 'kmmuniyappa', 'bjpleader', 'cmbommai', 'koratagerebjpma', 'swrflswq']"
