,date,content
43,2022-09-09 16:12:51+00:00,"Noontime, In #QueensKingdom We shutdown the #beltparkway for a solemnly ride RIP #queenelizabeth #SpeedDemonsEntertainment #SDE @ Queens, New York https://t.co/mxTRmm7rBh"
44,2022-09-09 16:12:16+00:00,"My deepest Condolences to The Royal Family, the Parliament, and to the Commonwealth of UK. There will only be one Queen Elizabeth. May Her Majesty Queen Elizabeth Rest In Peace. God Save The King. 
#QueenElizabeth"
45,2022-09-09 16:09:21+00:00,marciano cantero’s passing moved me a lot more ngl. RIP legend
46,2022-09-09 15:53:38+00:00,@WalkerBragman They’d rather bury their heads in the sand and deflect than face their complicity in pushing a conspiratorial ideology that exacerbates mass death.
47,2022-09-09 15:40:04+00:00,New Yorkers Mourn the Queen's Death at English Restaurants - Eater NY https://t.co/pE0IYX6oHa https://t.co/ftQWOsMIyn
48,2022-09-09 15:18:51+00:00,"From of one of the Queen’s truest friends, Nelson Mandela - “It is so easy to break down and destroy. The heroes are those who make peace and build.""
Her majesty did just that, with the devolution of the empire and the building of the Commonwealth of independent nations #GSTQ https://t.co/Wy2Tde60LG"
49,2022-09-09 15:16:02+00:00,Rest In Peace Queen Elizabeth … The Empire State Building colors were lit up last night in her honor … I added the image of her from her youth… #QueenElizabeth #nyc #photography https://t.co/h5drXdlEkU
50,2022-09-09 15:14:35+00:00,John Lydon Makes Statement on the Death of Queen Elizabeth II https://t.co/cOoApWz5js https://t.co/UwwaYBA6yq
51,2022-09-09 15:12:24+00:00,@ThanoS_DeatH You asked and got your polite answer. 🤣
52,2022-09-09 15:12:15+00:00,"@EmpireStateBldg shining in purple and sparkling in silver to honor the life and legacy of Her Majesty, Queen Elizabeth II #RIPQueenElizabeth 👑 https://t.co/PAAOEHlV1F"
53,2022-09-09 15:10:41+00:00,"An woman, an queen and an important face to her people in England. Thank you Queen Elizabeth II, you will be missed but your legacy will live on forever💙👸🇬🇧. #QueenElizabethII https://t.co/UdLM23Img9"
54,2022-09-09 15:06:14+00:00,When you are by yourself and you rip one of the grossest farts you have ever farted are you
55,2022-09-09 15:06:13+00:00,it’s not some ancient history that has us rejoicing at her death https://t.co/1j7v9YIi6k
56,2022-09-09 14:58:36+00:00,"We are well past the point where we can just “plant some trees.”

I’m not a techno-optimist, I think we’re so far behind that innovation is probably our only hope now to avoid hitting death spiral tipping points, &amp; not acknowledging that makes me question people’s seriousness."
57,2022-09-09 14:53:41+00:00,"Queen Elizabeth II's death marks a new era for Britain, beset by economic uncertainty #charlesiii #governmentannouncements #balmoralcastle #bankofengland #elizabethii #boe #fintwit https://t.co/j9Jhwx8Xh4"
58,2022-09-09 14:38:37+00:00,I read something that said Black culture values authenticity and white culture values politeness. The Queen’s death produced a great example of that. I can’t  believe how many people genuinely think she’s above reproach bc she died. Or who think everyone had to love her.
