,date,content
50,2022-09-08 17:59:15+00:00,"#QueenElizabeth  II, has died aged 96  RIP 🙏 https://t.co/jlNa4dlwM8"
51,2022-09-08 17:57:10+00:00,"@RoyalFamily God rest the Queen. She served God and her country her entire life. She deserves her well deserved rest. RIP Queen Elizabeth you were a staple for many of our lives. Always there, always smiling. God bless King Charles #QueenElizabeth"
52,2022-09-08 17:55:32+00:00,RIP Her Majesty 👑🙏🏼 https://t.co/7iUVzyGkAp
53,2022-09-08 17:50:42+00:00,May she Rest In Peace 🙏🏽 #QueenElizabeth https://t.co/t7FmRlztBY
54,2022-09-08 17:50:22+00:00,I’m going to keep it cute and say RIP Elizabeth.  I’ll leave it at that.
55,2022-09-08 17:41:34+00:00,I was having a HUGR poop when I learned LizzY died. RIP
56,2022-09-08 17:39:20+00:00,The Queen dying is a huge jolt even though we knew how old she was. Much change on the horizon. Condolences to the Royal family for this huge loss. #QueenElizabeth
57,2022-09-08 16:25:24+00:00,"I’m very much an anti-monarchist. I recognize what the British have done. Still, I don’t wish Elizabeth death. My father’s side came from England. It will be fascinating watching the ritual. She’s been in power so long, nobody has seen this in a long time."
58,2022-09-08 16:19:23+00:00,"You know things are serious when the royal family is being referred to only by their formal titles, forcing Americans to ask Google who everyone is https://t.co/R2TbGbbTol"
59,2022-09-08 16:05:51+00:00,"the queen doesn’t deserve to share a death day with my dad. in other news, I miss my dad a lot today."
60,2022-09-08 16:01:31+00:00,@ftrain Flipping through my mental thumb drives:“Epidemiology”“Election Verification Procedures”“Competitive Ice Skating”“Weapons Systems Training and Logistics”Aha!“British Royal Family and History!”
61,2022-09-08 15:11:16+00:00,"RIP Bernard Shaw, a fellow Chicago native who was an incredibly big baseball fan. I enjoyed our ⚾️conversations."
62,2022-09-08 13:00:07+00:00,That the royal family is rushing to Queen Elizabeth II's bedside in Scotland is not a good sign. :-( https://t.co/CZUNCWNPMr
63,2022-09-08 04:08:27+00:00,"The realist nigga I meet I knew for 2 months, broke bread when I ain’t sell nun but he sold out, broke me off even when there wasn’t no room for me on the lick. Put a blick in my pocket when niggas i knew for yours wouldn’t. Shit ended in fades and stick talk.Rip that man.."
64,2022-09-08 03:27:02+00:00,"@life_death @Apple What’s wrong with your three month old watch and why would you not just sell it on FB or Craigslist for far more?? As with anything, if it’s the easier route, you’ll receive less in return."
65,2022-09-08 02:38:30+00:00,"@willrue @mskarenkory @davidfrum Nero was actually a decent Caesar. He just gets a bad rap in history, because he sent in the Roman army to put down the Jewish revolt that would eventually (after his death) destroy the Temple of Jerusalem.But the whole burning of Rome / fiddle thing was just an after the"
66,2022-09-08 00:37:54+00:00,Death Triangle are the new AEW Trios Champions! #AEWDynamite
67,2022-09-08 00:04:50+00:00,Death Triangle Vs. Best Friends and Orange Cassidy is announced for tonight with the winners becoming the new Trios Champion #AEWDynamite
